D,d,H,norm_time
95,19,14,12.3
105,26,16,13.8
115,33,16,15.8
135,39,18,17.7
145,46,19,19.2
160,59,21,21.4
180,78,21,17.8
195,91,23,19.8
230,110,25,22.2
270,135,27,24.7
300,154,27,26.4
330,196,29,28.8
360,22,29,33.3
395,245,31,34.7
425,273,31,35.7
485,325,32,38.3
550,337,38,43.7
